Christian Friedrich Hebbel	wn31-11057832-n
Ashley Montagu	wn31-11206346-n
Carlo Goldoni	wn31-11025316-n
Melvin Calvin	wn31-10900421-n
Jean Anouilh	wn31-10838319-n
Stephen Jay Gould	wn31-11029491-n
Gabriel Lippmann	wn31-11154456-n
Émile Durkheim	wn31-10966126-n
Lennox Robinson	wn31-11286107-n
Fritz Haber	wn31-11041174-n
Edward Albee	wn31-10830832-n
François Jacob	wn31-11097474-n
Hans Bethe	wn31-10869869-n
John Fletcher (playwright)	wn31-10993156-n
Maurice Maeterlinck	wn31-11168889-n
J. Robert Oppenheimer	wn31-11235899-n
Gregory Goodwin Pincus	wn31-11255253-n
Thomas Middleton	wn31-11198771-n
Thornton Wilder	wn31-11406687-n
Terence Rattigan	wn31-11274940-n
Steven Weinberg	wn31-11400030-n
Otto Robert Frisch	wn31-11003168-n
Tadeusz Reichstein	wn31-11277385-n
W. B. Yeats	wn31-11422459-n
Donald A. Glaser	wn31-11021844-n
Václav Havel	wn31-11054592-n
Samuel Beckett	wn31-10859950-n
Edward Teller	wn31-11355036-n
Simon Kuznets	wn31-11133256-n
Max Perutz	wn31-11250967-n
Noël Coward	wn31-10933393-n
David Ricardo	wn31-11279447-n
John Dryden	wn31-10963651-n
Tennessee Williams	wn31-11409476-n
Roald Hoffmann	wn31-11074851-n
Richard Feynman	wn31-10990271-n
George Bernard Shaw	wn31-11315926-n
Jean-Paul Sartre	wn31-11302276-n
George de Hevesy	wn31-11068384-n
Harley Granville-Barker	wn31-11031760-n
Christopher Fry	wn31-11004122-n
John Webster	wn31-11399331-n
Oscar Wilde	wn31-11406341-n
Tirso de Molina	wn31-11363328-n
Hans Adolf Krebs	wn31-11130607-n
Noam Chomsky	wn31-10916204-n
Hermann Joseph Muller	wn31-11215285-n
K. Alex Müller	wn31-11215903-n
Moss Hart	wn31-11052696-n
Harold Pinter	wn31-11255609-n
Stephen Hawking	wn31-11054870-n
William Congreve	wn31-10926855-n
Athol Fugard	wn31-11004975-n
Ben Jonson	wn31-11111174-n
Murray Gell-Mann	wn31-11013773-n
Seneca the Younger	wn31-11312381-n
William Inge	wn31-11091564-n
James Franck	wn31-10998418-n
Wassily Leontief	wn31-11148824-n
Luigi Pirandello	wn31-11255777-n
William Wycherley	wn31-11419712-n
Gotthold Ephraim Lessing	wn31-11149655-n
Jean Genet	wn31-11013932-n
Neil Simon	wn31-11321124-n
Sam Shepard	wn31-11317447-n
Anton Chekhov	wn31-10914404-n
Michael Stuart Brown	wn31-10885972-n
Eugene Wigner	wn31-11406133-n
Élie Metchnikoff	wn31-11197141-n
Chen-Ning Yang	wn31-11422116-n
Milton Friedman	wn31-11002654-n
Miguel de Cervantes	wn31-10908784-n
Karel Čapek	wn31-10901368-n
Peter Ustinov	wn31-11378060-n
Eugène Scribe	wn31-11309989-n
Federico García Lorca	wn31-11009973-n
Richard Brinsley Sheridan	wn31-11317585-n
Bertolt Brecht	wn31-10883148-n
John Osborne	wn31-11237658-n
Thomas Kyd	wn31-11133479-n
Christopher Marlowe	wn31-11177709-n
Ernst Boris Chain	wn31-10910781-n
Jean Giraudoux	wn31-11021207-n
Tom Stoppard	wn31-11340240-n
Pedro Calderón de la Barca	wn31-10898907-n
Edmond Rostand	wn31-11291849-n
Pierre Corneille	wn31-10930856-n
John Millington Synge	wn31-11347739-n
Leo Szilard	wn31-11348284-n
Lope de Vega	wn31-11382190-n
Ferdinand Cohn	wn31-10924391-n
Cyrano de Bergerac	wn31-10939350-n
Jonas Salk	wn31-11299099-n
Albert Sabin	wn31-11297269-n
David Mamet	wn31-11173084-n
T. S. Eliot	wn31-10977064-n
Lise Meitner	wn31-11191604-n
Edward Sapir	wn31-11301164-n
Otto Fritz Meyerhof	wn31-11197863-n
Dennis Gabor	wn31-11006558-n
John von Neumann	wn31-11389030-n
Roman Jakobson	wn31-11098764-n
Eugène Ionesco	wn31-11092877-n
Robert K. Merton	wn31-11196659-n
Claude Lévi-Strauss	wn31-11150103-n
George Dibdin-Pitt	wn31-11256653-n
Clifford Odets	wn31-11232110-n
Jean Racine	wn31-11271778-n
Rudolf Mössbauer	wn31-11213804-n
Max Born	wn31-10877760-n
Herbert A. Simon	wn31-11320888-n
Harry Kroto	wn31-11131325-n
William Shakespeare	wn31-11315186-n
Albert Einstein	wn31-10974490-n
Fritz Albert Lipmann	wn31-11153928-n
Lev Landau	wn31-11135775-n
Wolfgang Pauli	wn31-11246703-n
Paul Ehrlich	wn31-10973597-n
Walter Gilbert	wn31-11019406-n
Albert A. Michelson	wn31-11198383-n
August Strindberg	wn31-11342476-n
Maxwell Anderson	wn31-10837211-n
Norbert Wiener	wn31-11405606-n
